,At,Sentimen,Review,Bintang,Aspek,data_cleaned
304,2020-05-07 05:40:57,1,👍👍👍,5,Lainnya,
305,2020-05-07 00:29:30,-1,Capek banget minta update terus setiap dua hari sekali-_-,2,Tampilan,lelah sekali pinta update terus setiap dua hari sekali
306,2020-05-06 23:45:59,-1,"Brand kosmetik / skincare nya kurang lengkap / banyak, produk2 populer / best seller banyak yg gak tersedia",2,Produk,brand kosmetik skincare nya kurang lengkap banyak produk produk populer best seller banyak yang tidak tersedia
307,2020-05-06 21:52:55,1,Good,5,Lainnya,good
308,2020-05-06 21:22:46,1,"sering"" kasih promo yaa sociolla",5,Layanan,selalu memberi promo ya sociola
309,2020-05-06 20:28:07,1,"still fine for me. thank you for making this app, shopping make up is easier and faster now.",5,Layanan,still fine for me thank you for making this aplikasi shopping make up is easier and faster now
310,2020-05-06 20:11:05,0,Lemot bjir,3,Tampilan,lama anjing
311,2020-05-06 19:55:30,0,"Klik shop langsung keluar sendiri. Uninstal lagi dink, kirain makin baik eh buka muncul ""update"" yg ada makin eror. Hadeuhh",3,Tampilan,klik shop langsung keluar sendiri uninstall sedang dong pikir makin baik lalu buka tampak update yang ada makin error kecewa
312,2020-05-06 15:47:52,1,Begitu byk.pilihan dan spt mempunyai kosultan kecantikan pribadi....makasih SOCO,4,Produk,begitu byk.pilihan dan seperti mempunyai kosultan kecantikan pribadi terima kasih soco
313,2020-05-06 15:16:00,0,Crash terus dan berat im not sure if its only me but honestly Page awal yg review ga menarik knpa ga page shop yg jdi halaman muka karna kita buka buat shop and reading is optional,3,Tampilan,crash terus dan berat im not sure if its only me but honestly page awal yang review tidak menarik mengapa tidak page shop yang jadi halaman muka karena kita buka untuk shop and reading is optional
314,2020-05-06 14:03:04,1,My heaven,5,Lainnya,my heaven
315,2020-05-06 11:00:42,1,Memudahkan pencarian kosmetik dan produk perawatan kecantikan,5,Produk,memudahkan pencarian kosmetik dan produk perawatan kecantikan
316,2020-05-06 06:28:45,-1,Loading....... sampe saya bosen nunggunya,2,Tampilan,loading sampe saya bosen menunggu
317,2020-05-06 06:15:29,-1,"produk yg baru saya beli, banyakkk tapi malah gak muncul di recently bought, jadinya sy gak bisa review. gak niat ngasih soco point buat review kali ya?! udah ckba lewat google chrome hp, lwat PC ttp aja sama. gak muncul. udh krim aduam ke email mlah blsannya gak jelas. lama"" makin jelek mo websitenya sma apknya. pdhal sy udh fab clique. tpi mlah lebih lama lbh parah erornya.",1,Tampilan,produk yang baru saya membeli banyak tetapi menjadi tidak tampak di recently bought jadinya saya tidak bisa review tidak niat memberi soco point untuk review kali ya udah coba lewat google chrome handphone lewat laptop tetap saja sama tidak tampak sudah kirim aduam ke email malah balasan tidak jelas lama makin buruk ingin websitenya dengan aplikasinya padahal saya sudah fab clique tetapi malah lebih lama lebih parah erornya
318,2020-05-06 05:16:21,-1,Belum apa apa minta apdet terus uninstal deh maaf.,1,Tampilan,belum apa apa pinta update terus uninstall deh maaf
319,2020-05-06 04:11:15,0,Saya kurang suka karena sedikit sedikit minta di perbarui applikasinya. Jadi ribet banget .,3,Tampilan,saya kurang suka karena sedikit sedikit pinta di perbarui aplikasi jadi sulit sekali
320,2020-05-06 00:58:53,1,Bagus juga sih..tapi kebanyak update mulu apk nya,4,Tampilan,bagus juga sih .. tapi kebanyak update terus aplikasi nya
321,2020-05-06 00:43:52,-1,semoga semakin lengkap: (Brand)-nya,2,Produk,semoga semakin lengkap brand nya
322,2020-05-06 00:35:46,1,"Lengkap, barang bagus.",5,Produk,lengkap barang bagus
323,2020-05-05 22:31:10,1,Tolong tambahkan pembayaran lewat dana apk,4,Layanan,tolong tambahkan pembayaran lewat dana aplikasi
324,2020-05-05 12:32:30,0,Tidak bisa memilih jasa pengiriman.,3,Layanan,tidak bisa memilih jasa pengiriman
325,2020-05-05 08:22:16,-1,Kok sering ilang/nutup lagi pas mo buka...udah buka bentar tiba2 ngilang..gituuu terus,2,Tampilan,kok selalu ilang nutup sedang saat ingin buka udah buka bentar tiba tiba ngilang .. gituu terus
326,2020-05-03 19:19:46,1,"Sebelum diupgrade apknya ga kenapa-kenapa belum ada kendala, tapi kenapa pas diupgrade jadi sering keluar dari apk nya ya? Terus pas mau upload gambar kok ga bisa ya?? Saya mau ngerivew jadi ga bisa😭 Tolong di perbaiki ya.... Terimakasih😊😊😊",4,Tampilan,sebelum diupgrade aplikasinya tidak kenapa kenapa belum ada kendala tetapi mengapa saat diupgrade jadi selalu keluar dari aplikasi nya ya terus saat ingin upload gambar kok tidak bisa ya saya ingin mereview jadi tidak bisa tolong di perbaiki ya terimakasih
327,2020-05-03 13:36:40,1,Kemarin kemarin applikasinya gak ada masalah .. tapi hari ini aku udh coba berkali2 sampe puluham kali sampe udh ku uninstall dan install lagi tapi hasilnya tetap sama terhenti terus aplikasinya ... padahal mau beli kebutuhan skincare yang udh habis 😭😭😫😭 coba difollow up itu knp yah aplikasinya bermasalah,5,Tampilan,kemarin kemarin aplikasi tidak ada masalah tetapi hari ini saya sudah coba berkali kali sampe puluham kali sampe sudah saya uninstall dan install sedang tetapi hasilnya tetap sama terhenti terus aplikasinya padahal ingin membeli kebutuhan skincare yang sudah habis coba difollow up itu mengapa ya aplikasinya bermasalah
328,2020-05-03 04:51:51,-1,"Ini kenapa yaa kok akhir akhir ini eror terus? Setiap klik ""shop"" aplikasi keluar sendiri dan itu terus kayak gitu setiap dilakuin berulang kali, sampe di uninstall dulu. Setelah itu bisa tapi gak lama gitu lagi. Tolong yaaa diperbaiki. Awalnya fine fine aja loo gak pernah ada masalah",2,Tampilan,ini mengapa ya kok akhir akhir ini error terus setiap klik shop aplikasi keluar sendiri dan itu terus kayak begitu setiap dilakuin berulang kali sampe di uninstall dulu setelah itu bisa tetapi tidak lama begitu sedang tolong ya diperbaiki awalnya fine fine saja lho tidak pernah ada masalah
329,2020-05-02 16:19:51,-1,"Ko aku tiap buka review nya error terus ya, dan bukan buka review ajasih, suka error terus kalo buka sociolla:((",1,Tampilan,kok saya setiap buka review nya error terus ya dan bukan buka review ajasih suka error terus kalau buka sociola
330,2020-05-02 15:57:27,-1,"Baru buka app-nya dan klik shop, aplikasi nutup sendiri... Begitu terus. Padahal saya buka aplikasinya bukan di jam promo atau diskon produk. Aplikasi belanja yg lain aman-aman aja dibuka, yg ini susah banget. Tolong perbaiki",1,Tampilan,baru buka app nya dan klik shop aplikasi tutup sendiri begitu terus padahal saya buka aplikasinya bukan di jam promo atau diskon produk aplikasi belanja yang lain aman aman saja dibuka yang ini sulit sekali tolong perbaiki
331,2020-05-02 15:55:32,1,Mantap.... Produk yang dijual asli dan bagus....,5,Produk,mantap produk yang dijual asli dan bagus
332,2020-04-30 23:20:51,1,Sangat merekomendasikan aplikasi ini untuk semuanya,5,Lainnya,sangat merekomendasikan aplikasi ini untuk semuanya
333,2020-04-29 14:08:51,0,Ga bisa masukin review ini gmn,3,Tampilan,tidak bisa masukkan review ini bagaimana
334,2020-04-28 15:03:44,1,Aplikasi yg bisa dibilang lengkap apa yg didalamnya (tpi untuk produk masih ada produk lain yg tidak ada di aplikasi ini),4,Produk,aplikasi yang bisa dibilang lengkap apa yang didalamnya tetapi untuk produk masih ada produk lain yang tidak ada di aplikasi ini
335,2020-04-28 10:26:22,-1,"Aplikasinya lemot sekali ya :( nanti saya download lagi, kl sudah tidak lemot saya ubah penilaiannya. Thnks",2,Tampilan,aplikasinya lama sekali ya nanti saya download sedang kalau sudah tidak lama saya ubah penilaiannya terima kasih
336,2020-04-28 07:43:34,-1,super lelet huhu syedihhh,1,Tampilan,super lambat kecewa sedih
337,2020-04-26 11:52:24,-1,"Skincarenya expired sedihhhh, udh beli mahalll😞",1,Produk,skincarenya expired sedih sudah membeli mahall
338,2020-04-25 19:05:08,1,"Pesanan aku udah sampe setelah dpt konfirm dari DM di Sociolla, makasih ya,, mantap😊👍🏻",5,Layanan,pesanan saya udah sampe setelah dapat konfirm dari dm di sociola terima kasih ya mantap
339,2020-04-24 22:18:51,-1,"Tolong banget deh ya. Metode pembayaran agak susah & tidak bisa lanjut. Dapet email aja gak, suruh bayar iya. Kelanjutannya gak tau gimana. Aplikasi kacau. 👎👎👎",1,Layanan,tolong sekali deh ya metode pembayaran sedikit sulit tidak bisa lanjut dapet email saja tidak perintah bayar iya kelanjutannya tidak tahu bagaimana aplikasi kacau
340,2020-04-24 22:16:32,1,"produknya emg oke semua, dijamin ori. tp aplikasi nya, tolong lah jgn update2 mulu. kmrn udah ku update, skrg ada update an lagi -_-",5,Produk,produknya memang oke semua dijamin original tetapi aplikasi nya tolong lah jangan update update terus kemarin udah saya update sekarang ada update an sedang
341,2020-04-24 22:06:30,1,Ok,5,Lainnya,oke
342,2020-04-24 10:12:56,-1,"Tolong proses refund pesanan saya no pesanan JEQDFXDLG. hampir sebulan tidak ada konfirmasi kapan mau di trnsfer, email saya tidak pernah dibalas.saya sangat kecewa dengan sociolla untuk pesanan kali ini.tolong di respon email saya",1,Layanan,tolong proses refund pesanan saya no pesanan jeqdfxdlg hampir sebulan tidak ada konfirmasi kapan ingin di transfer email saya tidak pernah dibalas.saya sangat kecewa dengan sociola untuk pesanan kali ini.tolong di respon email saya
343,2020-04-23 15:28:20,-1,Kok tidak bisa reset password?,2,Tampilan,kok tidak bisa reset password
344,2020-04-23 13:18:58,-1,"ini review saya tekait sociolla, saya gak tahu ada hambatan apa sehingga proses refund uang saya berbelit-belit dan memakan waktu yang lama. Dan Konfrimasi pembayaran juga sangat memakan waktu. Mohon diperbaiki sistem kerja Sociolla 🙏 saya salah satu konsumen yang telah kecewa.",1,Layanan,ini review saya tekait sociola saya tidak tahu ada hambatan apa sehingga proses refund uang saya berbelit belit dan memakan waktu yang lama dan konfirmasi pembayaran juga sangat memakan waktu mohon diperbaiki sistem kerja sociola saya salah satu konsumen yang telah kecewa
345,2020-04-23 00:37:28,1,"Produknya lengkap dan dijamin ori, banyak diskon dan free shipping. Sering kasih gift jg ke member2 nya. Mantaplah",5,Produk,produknya lengkap dan dijamin original banyak diskon dan free shipping selalu memberi gift juga ke member member nya mantaplah
346,2020-04-22 20:10:52,1,Gooddd,5,Lainnya,good
347,2020-04-22 11:52:05,-1,Ribet nge login nya,1,Tampilan,sulit nge login nya
348,2020-04-20 03:17:20,1,Good,5,Lainnya,good
349,2020-04-19 00:41:56,-1,Gatau aplikasinya susah banget dipake,1,Lainnya,tidak tahu aplikasinya sulit sekali dipakai
350,2020-04-18 23:36:00,1,"aku mau dnld gagal terooooss, pdhl koneksi oke, storage jg masih luas",5,Lainnya,saya ingin download gagal terooss padahal koneksi oke storage juga masih luas
351,2020-04-17 23:12:39,-1,"Parrrraaaahhhh...... Kapok pakai market place ini Jangan2 penipuan kali ya..... 14 hari ga jelas ini barang ada dimana, kemana, ga ada cs yg jelas. Untung duit ga sampai 100rb. Duh!",1,Layanan,parah menyesal pakai market place ini jangan jangan penipuan kali ya 14 hari tidak jelas ini barang ada dimana dimana tidak ada customer service yang jelas untung uang tidak sampai 100 rb duh
352,2020-04-17 15:58:55,-1,Org belanja dipersulit bgt sama login. Aneh bikin kesel. Kalo bisa kasih bintang 0 gue kasih dah,1,Tampilan,orang belanja dipersulit sekali sama login aneh membuat kesal kalau bisa memberi bintang saya memberi deh
353,2020-04-16 00:17:54,1,"Bagus banget ini tuh, reviewnya lengkap (bisa tahu jenis kulit yang ngereview ttg produk yang dicari sehingga bisa gw cocok2in buat gw). Sepuas itu si aku sama aplikasi ini lewat apk ini aku bisa nemuin produk yang bener cocok. Terima kasih, tolong pertahankan dan lebih update lagi sama produknya dan lebih dibanyakin lagi review barangnya.",5,Produk,bagus sekali ini itu reviewnya lengkap bisa tahu jenis kulit yang ngereview tentang produk yang dicari sehingga bisa saya cocok2 in untuk saya sepuas itu sih saya sama aplikasi ini lewat aplikasi ini saya bisa nemuin produk yang benar cocok terima memberi tolong pertahankan dan lebih update sedang sama produknya dan lebih diperbanyak sedang review barangnya
354,2020-04-15 22:55:08,-1,"Maaf, ini saya sebenarnya kurang tahu kendalanya dimana, tapi first impression aku pakai aplikasi ini cukup mengecewakan yah, waktu aku memasuki suatu brand, loadingnya tuh lama banget, awalnya saya kira mungkin wi-fi saya bermasalah tapi setelah di reset, keluarga saya ga mengalami masalah dalam jaringan, justru jaringannya lebih baik, tapi kok di apk ini masih loading lama banget gitu, ini saya masih nungguin. Saya sudah coba pakai datapun tetap tidak berfungsi. Sekian dan terimakasih",2,Tampilan,maaf ini saya sebenarnya kurang tahu kendalanya dimana tetapi first impression saya pakai aplikasi ini cukup mengecewakan ya waktu saya memasuki suatu brand loadingnya itu lama sekali awalnya saya pikir mungkin wi fi saya bermasalah tetapi setelah di reset keluarga saya tidak mengalami masalah dalam jaringan justru jaringannya lebih baik tetapi kok di aplikasi ini masih loading lama sekali begitu ini saya masih nungguin saya sudah coba pakai datapun tetap tidak berfungsi sekian dan terima kasih
355,2020-04-15 18:30:43,-1,Knpa saya mau edit profile tanggal lahirnya tidak bisa di klik selalu error?? Dan kalo mau search barang yang mau di beli selalu tidak muncull. Dan error terus padahal kuotaa masihh lancarr,2,Tampilan,mengapa saya ingin edit profile tanggal lahirnya tidak bisa di klik selalu error dan kalau ingin search barang yang ingin di membeli selalu tidak terlihat dan error terus padahal kuota tersedia lancar
356,2020-04-14 22:53:59,-1,"Bintangnya satu dulu ya, mau tanya ini aplikasi apa ya dan cara mau pasang iklan di aplikasi Soco caranya bagaimana ya? Terima kasih",1,Lainnya,bintangnya satu dulu ya ingin tanya ini aplikasi apa ya dan cara ingin pasang iklan di aplikasi soco caranya bagaimana ya terima memberi
357,2020-04-14 19:52:59,0,Min tolonh dong aplikasinya upgrade lagi biar ngerasain sama kayak di web. soalnya kadang di aplikasi beda sama yg di web,3,Tampilan,admin tolong dong aplikasinya upgrade sedang supaya ngerasain sama kayak di web karena terkadang di aplikasi beda sama yang di web
358,2020-04-13 22:19:59,0,"Untuk pengiriman mungkin bisa dipercepat, saya pesan dari aplikasi sociolla agak lama sampainya.",3,Layanan,untuk pengiriman mungkin bisa dipercepat saya pesan dari aplikasi sociola sedikit lama sampainya
359,2020-04-13 11:48:23,-1,"Kenapa buka aplikasi ini selalu error, keluar sendiri, selalu minta refresh, minta update terus. Padahal lebih enak belanja disini drpd di aplikasi sebelah karena barangnya ori dan brandnya lengkap. Tolong soco perbaiki lagi kinerja aplikasi nya, atau bikin aplikasi belanja khusus untuk sociolla saja tidak usah digabung dengan journal dan lain2",2,Tampilan,mengapa buka aplikasi ini selalu error keluar sendiri selalu pinta refresh pinta update terus padahal lebih enak belanja disini daripada di aplikasi lainnya karena barangnya original dan brandnya lengkap tolong soco perbaiki sedang kinerja aplikasi nya atau membuat aplikasi belanja khusus untuk sociola saja tidak perlu digabung dengan jurnal dan lain lain
360,2020-04-12 18:18:07,-1,Aku fa sukaaaaaaaa ga bagus-bagus barangnya uuuuuuu sosyola ga bagus uuuuuuuuu,1,Produk,saya tidak suka tidak bagus bagus barangnya uu sociola tidak bagus uu
361,2020-04-12 15:47:30,-1,Coba-coba beli obat jerawat disini dari sebelum jerawatnya belum nongol sampe kening bengkak kaya siluman babi sampe sekarang jerawat udah kempes belum dateng juga. .untung nyobanya yg murah dulu coba langsung beli yg mahal mati bediri bisa2..ga lagi2 belanja disini.,1,Layanan,coba coba membeli obat jerawat disini dari sebelum jerawatnya belum terlihat sampe kening bengkak seperti siluman babi sampe sekarang jerawat udah kempes belum datang juga untung mencoba yang murah dulu coba langsung membeli yang mahal mati bediri bisa2 .. ga lagi lagi belanja disini
362,2020-04-12 01:47:32,-1,Error terus.,2,Tampilan,error terus
363,2020-04-11 22:18:55,1,Seneng sih sama sociolla yang selalu kasih socobox dan menarik semua produk disini juga dijamin ori,5,Produk,senang sih sama sociola yang selalu memberi socobox dan menarik semua produk disini juga dijamin original
364,2020-04-10 13:32:55,-1,"aplikasi kok tulisannya error connection teruusss, gak jelas",1,Tampilan,aplikasi kok tulisannya error connection terus tidak jelas
365,2020-04-09 12:38:29,0,"Mohon ditingkatkan lagi sistemnya, karena di aplikasi dengan yang di website berbeda. Untuk penghapusan postingan harus direquest tapi tidak pernah terhapus. Tolong ditingkatkan kembali aplikasi SOCO ini.",3,Tampilan,mohon ditingkatkan sedang sistemnya karena di aplikasi dengan yang di website berbeda untuk penghapusan postingan harus direquest tetapi tidak pernah terhapus tolong ditingkatkan kembali aplikasi soco ini
366,2020-04-08 15:32:36,-1,Ngga lagi belanja disini dah 🙂,1,Lainnya,tidak sedang belanja disini deh
367,2020-04-08 10:11:32,1,Bagus karena gratis ongkir.. Packingan rapi & aman + barang ori... Hanya sayang tibanya lama banget & gak bisa cek posisi barang udah dimana... Mohon aplikasinya di perbaiki agar memudahkan pembeli. Terima kasih... 😇,4,Tampilan,bagus karena gratis ongkir packingan rapih aman barang original hanya sayang tibanya lama sekali tidak bisa cek posisi barang udah dimana mohon aplikasinya di perbaiki supaya memudahkan pembeli terima memberi
368,2020-04-08 00:02:52,-1,"Aplikasi sering berhenti sendiri, mau buka review pasti eror connection, ga bisa tracking pesanan, pengiriman lama banget",1,Tampilan,aplikasi selalu berhenti sendiri ingin buka review pasti error connection tidak bisa tracking pesanan pengiriman lama sekali
369,2020-04-07 16:13:49,0,Kenapa aplilasinya error terus padahal koneksi udah lancar,3,Tampilan,mengapa aplilasinya error terus padahal koneksi udah lancar
370,2020-04-07 11:41:16,1,Aku suka sociolla ♡♡♡,5,Lainnya,saya suka sociola
371,2020-04-07 09:01:46,-1,"Pertama kali belanja disini uda kecewa. Lama bgt pengirimannya, ga sesuai sama yang dijanjikan. Pesanan ga bisa dilacak. Respon cs lambat.",1,Layanan,pertama kali belanja disini sudah kecewa lama sekali pengirimannya tidak sesuai sama yang dijanjikan pesanan tidak bisa dilacak respon customer service lambat
372,2020-04-06 10:19:27,1,Hoby,5,Lainnya,kesukaan
373,2020-04-06 06:50:48,1,"Produk ori ,, Cepet jg sampainya",4,Produk,produk original cepet juga sampainya
374,2020-04-06 01:01:53,-1,"nyesel bgt, eror trs blg nya, udh ditungguin ber minggu"" ttp aja eror, gbs buka review, gbs liat prdukk nya jg",1,Tampilan,menyesal sekali error terus bilang nya sudah ditungguin ber minggu tetap saja error tidak bisa buka review tidak bisa melihat produk nya juga
375,2020-04-05 22:29:59,-1,"Tolong responnya dong, pertama kali saya belanja di soco baru aja beres bayar lewat ovo eh dapet email katanya pesanan dibatalkan, padahal saya ga ngebatalin, da uang saya pun blm kembali sampe sekarang, udh saya email ke cs nya tapi gaada jawaban. Tolong dong responnya ngerugiin banget ini !!!",1,Layanan,tolong responnya dong pertama kali saya belanja di soco baru saja beres bayar lewat ovo lalu dapet email katanya pesanan dibatalkan padahal saya tidak ngebatalin dan uang saya pun belum kembali sampe sekarang sudah saya email ke customer service nya tetapi tidak ada jawaban tolong dong responnya ngerugiin sekali ini
376,2020-04-05 21:33:05,0,Pas awal order ok² aja eh pas yg ke 2 kalinya paketnya sudah seminggu lebih blm tau ada dmn. Tolong sistemnya di perbaiki lagi biar kita tau posisi paketnya ada dimana selebihnya sih bagus karena sering ada diskon,3,Tampilan,saat awal order oke oke saja lalu saat yang ke kalinya paketnya sudah seminggu lebih belum tahu ada dimana tolong sistemnya di perbaiki sedang supaya kita tahu posisi paketnya ada dimana selebihnya sih bagus karena selalu ada diskon
377,2020-04-05 13:24:30,1,"Beli langsung di counter sociolla, gapake ribet nunggu estimasi barang dikirim. Harga diskon di counter dan appsnya sama. Dapet poin juga, tapi tolong tambahkan fitur unreshare konten user lain aja.",4,Tampilan,membeli langsung di counter sociola tidak pakai sulit menunggu estimasi barang dikirim harga diskon di counter dan aplikasi sama dapet poin juga tetapi tolong tambahkan fitur unreshare konten user lain saja
378,2020-04-05 09:07:12,0,Tolong di tingkatkan lagi dong kualitasnya ini kok selalu lemot bgt kalo loading lama sekali dan sering gagal memuat,3,Tampilan,tolong di tingkatkan sedang dong kualitasnya ini kok selalu lama sekali kalau loading lama sekali dan selalu gagal memuat
379,2020-04-04 14:21:43,-1,"Mau tanya dong, saya ini selalu update sociolla. Ada kendala di setiap kali saya klik menu Shop-Search Product- dan setiap kali saya klik brand yg saya cari itu gabisa liat detail review.. selalu saja Error conection ( alias ga bisa di buka ). Ini sungguh menjengkelkan dn Ribet untuk di gunakan sebagai apalikasi shopping. Jaringan saya oke untuk semua aplikasi tapi tidak untuk aplikasi ini. Mohon di perbaiki. Terimakasih",2,Tampilan,ingin tanya dong saya ini selalu update sociola ada kendala di setiap kali saya klik menu shop search product dan setiap kali saya klik brand yang saya cari itu tidak bisa melihat detail review selalu saja error connection alias tidak bisa di buka ini sungguh menjengkelkan dan sulit untuk di gunakan sebagai apalikasi shopping jaringan saya oke untuk semua aplikasi tetapi tidak untuk aplikasi ini mohon di perbaiki terima kasih
380,2020-04-04 10:45:25,-1,"Saya pesan dari tanggal 25 maret sampai sekarang barang belum sampai,saya sudah email ke Cs 2 kali tapi tidak ada balasan. Apa ada kontak yang bisa saya hububgi",1,Layanan,saya pesan dari tanggal 25 maret sampai sekarang barang belum sampai saya sudah email ke customer service kali tetapi tidak ada balasan apa ada kontak yang bisa saya hubungi
381,2020-04-03 21:16:11,-1,"Sy bingung dg sistem pembelian disini. Bgm bisa pesanan tercancel otomatis pdhl dr customer tdk mencancelny. Pdhl persis sebelumny pesanan tlh terconfrim. Sy dibilang membayar tdk sesuai harga pesanan padahal saya membayar nominal yang sesuai, mungkin krn disitu tdk tercantum saat sy mendapatkan potongan harga dg kupon dan pembelian saat flash sale. Tp asli ini aneh bgt haha Tolong jika ingin meningkatkan kuantitas penjualan diimbangi dengan kualitas dan koordinasi fungsi satu sama lain. Thx",1,Layanan,saya bingung dengan sistem pembelian disini bagaimana bisa pesanan tercancel otomatis padahal dari customer tidak mencancel padahal mirip sebelumnya pesanan telah terkonfirmasi saya dibilang membayar tidak sesuai harga pesanan padahal saya membayar nominal yang sesuai mungkin karena disitu tidak tercantum saat saya mendapatkan potongan harga dengan kupon dan pembelian saat flash sale tetapi asli ini aneh sekali tertawa tolong jika ingin meningkatkan kuantitas penjualan diimbangi dengan kualitas dan koordinasi fungsi satu sama lain terima kasih
382,2020-04-03 19:59:39,0,hay saya dari papua mau tau kalo order barang di SOCO ini datangnya ke papua bereapa lama makasih yae..saya kasih 🌟 🌟 🌟,3,Lainnya,halo saya dari papua ingin tahu kalau order barang di soco ini datangnya ke papua berapa lama terima kasih yae .. saya memberi
383,2020-04-03 05:39:35,-1,"Parah banget order dari thl 24 sampe tgl 3 GAADA KEJELASAN ! email Cs katanya pengiriman lewat lion.. dm di ig ktnya pengiriman lewat SAP, info ga jelas. Diskon2 terus yg diaplod sampe orderan membeludak akhirnya paketan org TERBENGKALAI ! HARUSNYA pelayanan sama kualitas pengiriman yg diperbagus semakin kesini kok semakin buruk.. semoga kedepannya lebih baik",1,Layanan,parah sekali order dari thl 24 sampe tanggal tidak ada kejelasan email customer service katanya pengiriman lewat lion dm di ig katanya pengiriman lewat sampai info tidak jelas diskon2 terus yang diupload sampe orderan membeludak akhirnya paketan orang terbengkalai harusnya pelayanan sama kualitas pengiriman yang diperbagus semakin kesini kok semakin buruk semoga kedepannya lebih baik
384,2020-04-02 23:20:41,-1,"app nya sih bagus, update, promo. tp bagian pengirimannya memble euy. costumer care gak bisa dihubungi. live chat gak ada juga. mau cek paket gak bisa. mau tanya konfirmasi juga gak bisa. bagusnya cuma di tampilan doang.",1,Tampilan,aplikasi nya sih bagus update promo tetapi bagian pengirimannya lama ya costumer care tidak bisa dihubungi live chat tidak ada juga ingin cek paket tidak bisa ingin tanya konfirmasi juga tidak bisa bagusnya hanya di tampilan doang
385,2020-04-02 18:22:09,1,"Kak saya minta nomor resinya kok gak dibales,saya udah ngirim melalui email.",4,Layanan,kakak saya pinta nomor resinya kok tidak dibales saya udah ngirim melalui email
386,2020-04-02 12:06:10,-1,"nyesel seumur hidup belanja disini , najis , baru pertama kali belanja disini edan pengiriman lama banget seminggu lebih , giliran di email eh katanya barang kosong , 2 hari berikutnya di email lgi barang di cancel sepihak , heh lu pikir gua bayar pake daun gw bayar pake duit bambankk , mana smpe skrng blm di refund dananya, awas aja klo sampe gk di balikin duit gua , gua tuntut nih perusahaan , sumpah gk recommended , gk usah belanja disini admin kgk jelas tiba² cancel sepihak , respon lambat",1,Layanan,menyesal seumur hidup belanja disini jijik baru pertama kali belanja disini gila pengiriman lama sekali seminggu lebih saat di email lalu katanya barang kosong hari berikutnya di email lagi barang di cancel sepihak heh lu pikir saya bayar pakai daun saya bayar pakai uang bambankk dimana sampai sekarang belum di refund dananya awas saja kalau sampe tidak di balikin uang saya saya tuntut nih perusahaan sumpah tidak recommended tidak perlu belanja disini admin tidak jelas tiba tiba cancel sepihak respon lambat
387,2020-04-02 08:06:21,-1,"SISTEM PENGIRIMANNYA 👎 Seminggu lebih nunggu, padahal orderan pertama beli pake app ini, beli barang di batam aja ga selama ini dong, dan bener gabisa lacak paket, kalo ada update an paketnya kan nunggu 2 minggu juga gamasalah, tapi ini gatau di mana paketnya. Cukup tau aja deh kedepannya ga lagi lagi , maaf, makasih!!",1,Layanan,sistem pengirimannya seminggu lebih menunggu padahal orderan pertama membeli pakai aplikasi ini membeli barang di batam saja tidak selama ini dong dan benar tidak bisa lacak paket kalau ada update an paketnya kan menunggu minggu juga tidak masalah tetapi ini tidak tahu di dimana paketnya cukup tahu saja deh kedepannya tidak sedang sedang maaf terima kasih
388,2020-04-01 17:02:34,-1,"Daripada beli di sociolla mending beli yg di marketplace ijo oren biru aja ketauan kalo pengiriman lama bisa komplain kemana dan refundnya cepet. Asli ni dah hampir 2 minggu barangnya ga jelas, status ga jelas, ga ada resi, mau komplen kemana ga tau.",2,Layanan,daripada membeli di sociola seharusnya membeli yang di marketplace hijau orange biru saja ketahuan kalau pengiriman lama bisa complain dimana dan refundnya cepet asli ini deh hampir minggu barangnya tidak jelas status tidak jelas tidak ada resi ingin komplen dimana tidak tahu
389,2020-04-01 11:12:12,-1,"Pernah belanja disini nyampe nya seminggu. Waaaw mana gak ada resinya lagi 😟 Udah gtu tiap mau klik apa2 loading ny lama bgt, padahal sinyal bagus",1,Layanan,pernah belanja disini nyampe nya seminggu terkejut dimana tidak ada resinya sedang udah begitu setiap ingin klik apa apa loading nya lama sekali padahal sinyal bagus
390,2020-04-01 06:11:29,1,"Tiap mau riview trus mau di publish slalu loding lama banget sampe nuggu 1 jam tetep loading ga ke publish""😪",4,Tampilan,setiap ingin review lalu ingin di publish selalu loading lama sekali sampe nuggu jam tetap loading tidak ke publish
391,2020-04-01 01:23:32,-1,Emboh lah saya udah daftar tapi suruh daftar lagi padahal udah pencet daftar. Juga saya pake akun saya ga bisa padahal udah bener dan jelas tulisannya ini apk ter tai 💩💩💩💩💩,1,Tampilan,tidak tahu lah saya udah daftar tetapi perintah daftar sedang padahal udah tekan daftar juga saya pakai akun saya tidak bisa padahal udah benar dan jelas tulisannya ini aplikasi ter tai
392,2020-03-31 20:18:21,-1,"Apps nya ngga bisa di buka, padahal sudah 2 kali instal sejak beberapa bulan lalu. Dan sudah pake yg paling update :(",1,Tampilan,aplikasi nya tidak bisa di buka padahal sudah kali install sejak beberapa bulan lalu dan sudah pakai yang paling update
393,2020-03-31 19:52:00,-1,Hey how to track the shipment?? I already purchased some item 4 daya ago and the status is shipped but i didnt get it till know. And i dont know how to track,2,Tampilan,hey how kok track the shipment already purchased some item daya ago and the status is shipped but didnt get it till know and dont know how kok track
